Depth,Call Numerical,Call BS,Call error,Put Numerical,Put BS,Put error
10,0.760299,0.814219,0.053920,3.657224,3.711144,0.053920
20,0.787056,0.814219,0.027163,3.683981,3.711144,0.027163
30,0.796069,0.814219,0.018151,3.692993,3.711144,0.018151
40,0.800591,0.814219,0.013629,3.697516,3.711144,0.013629
50,0.803309,0.814219,0.010910,3.700234,3.711144,0.010910
60,0.805124,0.814219,0.009096,3.702049,3.711144,0.009096
70,0.806421,0.814219,0.007799,3.703346,3.711144,0.007799
80,0.807394,0.814219,0.006826,3.704319,3.711144,0.006826
90,0.808151,0.814219,0.006068,3.705076,3.711144,0.006068
100,0.808757,0.814219,0.005462,3.705682,3.711144,0.005462
110,0.809253,0.814219,0.004966,3.706178,3.711144,0.004966
120,0.809667,0.814219,0.004553,3.706592,3.711144,0.004553
130,0.810017,0.814219,0.004203,3.706941,3.711144,0.004203
140,0.810317,0.814219,0.003903,3.707241,3.711144,0.003903
150,0.810576,0.814219,0.003643,3.707501,3.711144,0.003643
160,0.810804,0.814219,0.003415,3.707729,3.711144,0.003415
170,0.811005,0.814219,0.003215,3.707930,3.711144,0.003215
180,0.811183,0.814219,0.003036,3.708108,3.711144,0.003036
190,0.811343,0.814219,0.002877,3.708268,3.711144,0.002877
200,0.811487,0.814219,0.002733,3.708412,3.711144,0.002733
210,0.811617,0.814219,0.002603,3.708542,3.711144,0.002603
220,0.811735,0.814219,0.002485,3.708660,3.711144,0.002485
230,0.811843,0.814219,0.002377,3.708768,3.711144,0.002377
240,0.811942,0.814219,0.002278,3.708867,3.711144,0.002278
250,0.812033,0.814219,0.002187,3.708958,3.711144,0.002187
260,0.812117,0.814219,0.002102,3.709042,3.711144,0.002102
270,0.812195,0.814219,0.002025,3.709120,3.711144,0.002025
280,0.812267,0.814219,0.001952,3.709192,3.711144,0.001952
290,0.812334,0.814219,0.001885,3.709259,3.711144,0.001885
300,0.812397,0.814219,0.001822,3.709322,3.711144,0.001822
310,0.812456,0.814219,0.001764,3.709381,3.711144,0.001764
320,0.812511,0.814219,0.001708,3.709436,3.711144,0.001708
330,0.812563,0.814219,0.001657,3.709488,3.711144,0.001657
340,0.812612,0.814219,0.001608,3.709536,3.711144,0.001608
350,0.812657,0.814219,0.001562,3.709582,3.711144,0.001562
360,0.812701,0.814219,0.001519,3.709626,3.711144,0.001519
370,0.812742,0.814219,0.001478,3.709667,3.711144,0.001478
380,0.812781,0.814219,0.001439,3.709706,3.711144,0.001439
390,0.812818,0.814219,0.001402,3.709742,3.711144,0.001402
400,0.812853,0.814219,0.001367,3.709778,3.711144,0.001367
